,online_order,book_table,rate,votes,location,rest_type,dish_liked,cuisines,cost,review,menu_item,type,city
247,1,1,4.0,349,1,20,4548,1515,1200,5186,1148,4,1
248,1,0,4.2,287,1,62,3406,1152,350,9557,5004,4,1
249,1,1,4.6,2556,1,22,1975,1464,600,12414,5004,4,1
250,1,1,4.2,354,1,20,4688,149,800,8028,620,4,1
251,1,1,4.1,775,1,20,3573,1382,800,6329,5004,4,1
252,1,1,4.2,2115,1,20,3847,1477,800,499,5004,4,1
253,0,1,3.8,977,1,46,181,876,1300,7663,5004,4,1
254,0,0,4.1,868,1,57,230,702,1200,12188,5004,4,1
255,1,0,4.0,324,1,13,3821,460,700,2309,4422,4,1
256,1,0,4.1,787,1,20,2902,592,800,7612,5004,4,1
257,1,0,4.2,504,1,13,5091,483,550,5043,909,4,1
258,1,0,4.1,402,1,13,5092,330,500,9845,3387,4,1
259,1,1,4.2,150,1,13,2857,460,600,426,1375,4,1
260,1,1,4.2,164,1,13,1703,378,500,5070,2002,4,1
261,0,0,4.2,244,1,20,3590,996,800,6266,5004,4,1
262,1,0,4.0,771,1,20,3419,1585,450,4367,4507,4,1
263,1,0,4.2,1647,1,20,3216,607,600,8333,5004,4,1
264,0,1,4.0,808,1,20,4336,1192,850,7234,5004,4,1
265,0,0,4.0,424,1,13,4387,381,450,1459,5004,4,1
266,1,0,3.9,135,1,20,4647,1218,800,6064,3612,4,1
267,1,0,3.8,918,1,16,1385,482,800,2106,5004,4,1
268,1,0,3.8,90,1,13,2147,330,650,1746,5004,4,1
269,1,0,3.9,519,1,20,4920,559,900,3205,5004,4,1
270,1,0,3.6,105,1,20,3734,1674,700,3132,5004,4,1
271,1,0,3.9,133,1,13,2906,439,800,336,1287,4,1
272,1,0,3.8,144,1,13,3569,531,700,2461,5004,4,1
273,0,0,3.9,93,1,13,923,454,300,5189,5004,4,1
274,1,0,3.8,42,1,62,4249,1585,300,13101,2861,4,1
275,1,0,2.5,247,1,20,3430,1152,500,10659,2824,4,1
276,1,0,3.0,62,1,13,474,442,400,1461,2384,4,1
277,1,0,3.8,160,1,20,2775,1192,700,5193,4014,4,1
278,1,0,3.6,129,1,20,4546,1087,600,419,1316,4,1
279,0,0,3.3,62,1,4,1260,1585,800,13916,5004,4,1
280,0,0,2.6,283,1,20,288,1152,600,3671,5004,4,1
281,1,0,3.8,59,1,20,4665,1192,750,5752,5004,4,1
282,1,0,3.5,179,1,20,2258,1204,600,1548,3557,4,1
283,0,0,3.8,62,1,62,2462,1557,150,8709,5004,4,1
284,0,0,3.0,98,1,4,3363,1192,800,3636,5004,4,1
285,0,0,2.7,128,1,20,813,602,850,4392,5004,4,1
286,1,0,2.8,45,1,20,3721,1479,800,3922,2140,4,1
287,1,0,3.5,41,75,44,3740,1471,400,12092,5004,4,1
288,1,0,3.7,405,1,20,3880,1470,750,12151,4188,4,1
289,1,0,3.9,388,1,20,1012,297,650,6060,947,4,1
290,0,0,4.7,651,1,62,2767,1543,100,12894,5004,4,1
291,1,0,4.3,734,1,62,3413,1593,200,8707,4656,4,1
292,0,0,4.0,1047,1,62,3583,976,450,10863,5004,4,1
293,1,0,3.8,505,1,62,538,320,450,8281,658,4,1
294,1,0,3.9,264,1,62,2423,1543,200,9045,3187,4,1
295,1,0,3.9,286,1,62,556,320,500,8819,3350,4,1
296,0,0,4.4,343,1,62,2735,1543,100,5092,5004,4,1
297,0,0,3.8,70,1,62,4764,819,500,9974,5004,4,1
298,1,0,3.8,70,1,62,2737,1543,100,12114,124,4,1
299,1,0,3.7,237,1,62,962,1567,200,3879,2022,4,1
300,1,0,4.1,201,1,62,2760,1593,300,11111,1895,4,1
301,1,0,2.8,506,1,62,590,1328,500,395,5004,4,1
302,0,0,4.1,520,1,62,5011,246,300,12981,5004,4,1
303,0,0,3.7,88,1,62,2705,1583,300,5161,5004,4,1
304,1,0,3.7,136,1,62,5030,1503,600,7295,853,4,1
305,0,0,3.9,88,1,62,2466,1543,250,8680,5004,4,1
306,0,0,3.8,189,1,62,1636,1543,300,6892,5004,4,1
307,0,0,3.8,39,1,62,2705,1559,350,1286,5004,4,1
308,1,0,3.9,540,1,62,3305,1470,800,2358,3090,4,1
309,0,0,3.6,71,1,62,5017,1412,250,991,5004,4,1
310,1,0,3.5,88,1,62,1092,1588,350,259,1025,4,1
311,1,0,3.0,87,1,62,2162,1472,600,4064,3456,4,1
312,1,0,4.2,415,1,62,4232,1186,500,3875,1011,4,1
