,book_table,votes,location,rest_type,dish_liked,cuisines,cost,review,rate
357,0,172,79,20,257,1192,700,7050,3.6
358,0,543,4,62,2421,1567,300,5428,3.9
359,0,52,4,62,1634,1543,300,5639,4.0
360,0,217,4,20,835,1277,450,9336,3.7
361,0,111,4,20,2957,1254,700,7386,3.9
362,0,133,4,62,1780,1632,200,8778,3.8
363,0,39,30,62,2740,1583,250,9415,3.8
364,0,64,4,62,799,1543,200,11137,4.0
365,0,148,4,62,4419,871,150,7467,3.8
366,0,55,75,44,333,593,300,5417,3.8
367,1,977,1,46,181,876,1300,7664,3.8
368,0,868,1,57,230,702,1200,12188,4.1
369,0,62,1,4,1260,1585,800,13916,3.3
370,0,98,1,4,3363,1192,800,3636,3.0
371,0,377,4,57,4825,1288,1100,8216,2.7
372,1,2487,3,57,2140,1339,900,10800,4.4
373,1,1964,3,20,2678,86,1000,6041,4.2
374,0,3178,3,20,1205,1398,750,11756,4.3
375,0,455,3,20,1916,49,550,1372,3.3
376,1,3845,28,20,2630,1321,1600,12523,4.7
377,0,353,28,20,3241,1412,1200,12463,4.3
378,1,1234,28,20,826,1419,800,11757,4.1
379,1,1538,28,20,2331,163,1000,10444,4.1
380,1,756,28,20,2576,1152,1000,9109,3.8
381,1,347,28,20,4723,1291,1000,4515,4.0
382,1,165,28,20,2116,1588,1000,3561,4.0
383,0,177,28,20,847,1218,950,12253,3.3
384,0,102,0,20,4813,1585,600,2596,3.0
385,1,200,3,13,2858,381,700,8567,4.0
386,0,102,3,13,693,350,450,13047,3.9
387,0,171,3,13,1578,330,300,1352,3.7
388,0,37,3,13,4894,357,400,4547,3.7
389,0,40,3,41,5043,440,400,2686,3.9
390,0,125,3,13,4272,444,500,1791,3.9
391,0,49,3,13,1947,330,600,4546,3.9
392,0,69,3,14,1620,348,700,4655,3.8
393,0,78,3,13,445,330,350,2625,3.9
394,0,48,3,65,4896,547,650,1097,2.7
395,0,46,28,13,3640,500,600,10340,4.1
396,0,129,28,13,2801,381,600,11914,4.0
397,1,727,28,13,1677,414,800,2576,3.9
398,0,521,28,13,3885,402,550,2411,4.1
399,0,203,28,65,602,364,650,8380,4.1
400,1,4381,28,22,960,1464,600,1917,4.4
401,0,131,28,13,3921,502,400,1380,3.7
402,0,46,28,13,2011,316,450,2714,3.7
403,0,48,28,13,1684,434,550,4762,3.4
404,0,127,28,13,3842,465,700,899,3.7
405,0,85,28,13,3816,494,500,378,2.7
406,0,335,0,20,1905,64,800,8740,3.7
407,0,254,0,20,2980,280,800,13190,3.8
408,0,63,28,72,4382,867,300,110,4.1
409,0,244,0,62,3994,200,400,7952,4.0
410,0,255,0,62,3511,1152,250,1387,2.9
411,0,549,0,30,398,771,400,13077,4.5
412,0,775,0,62,3403,1593,300,2540,4.1
413,0,208,28,72,1093,283,300,5722,3.6
414,0,739,28,29,1261,563,500,1525,4.1
415,0,310,3,62,1818,1152,400,828,3.8
416,0,126,0,62,2578,1152,150,8153,4.0
417,0,427,3,72,3503,1388,500,383,4.1
418,0,197,0,62,2240,1152,300,13767,4.0
419,0,601,0,62,3711,1473,700,12921,4.1
420,0,488,28,72,5004,271,400,1228,3.9
421,0,396,3,62,3678,1585,400,12770,4.0
422,0,474,0,62,4850,1231,450,7703,3.6
423,0,172,0,62,3460,1192,300,874,2.9
424,0,175,3,62,257,41,250,1709,3.1
425,0,939,0,20,2915,556,600,12378,4.0
426,0,173,0,62,4047,1457,250,2990,3.9
427,0,77,3,62,1357,1152,400,975,3.9
428,0,326,0,13,3920,1191,200,9919,3.9
429,0,212,28,62,326,234,350,7681,3.3
430,0,464,0,62,2620,1175,300,5466,4.1
431,0,628,3,29,4215,920,450,1871,3.3
432,0,518,28,20,1658,1585,400,10142,3.6
433,0,70,3,30,1328,765,350,12413,3.9
434,0,62,28,62,2110,322,300,9636,3.9
435,0,819,30,30,2302,952,400,7297,4.4
436,1,1964,3,20,2678,86,1000,6042,4.2
437,0,138,3,29,2263,233,650,9351,4.0
438,0,455,3,20,1916,49,550,1372,3.3
439,0,181,3,41,742,1177,600,4505,3.8
440,0,43,28,62,2132,309,300,8175,3.6
441,0,159,28,62,3978,1461,750,2385,2.7
442,0,166,3,62,4269,1503,600,3058,3.2
443,0,128,3,72,973,280,400,7194,3.7
444,0,126,0,62,2522,563,300,211,2.9
445,0,952,30,62,1100,1351,400,8283,4.0
446,0,472,3,62,718,321,600,4100,3.8
447,1,739,3,20,967,294,800,8218,4.0
448,0,255,0,20,989,49,500,9904,3.9
449,0,1974,28,20,2447,292,800,9590,4.0
450,1,1428,28,20,3352,63,800,6763,4.2
451,0,332,28,62,3118,1585,300,1479,4.0
452,1,199,28,62,3563,1472,700,10533,4.0
453,0,437,28,62,720,320,400,12594,3.9
454,0,207,3,20,1035,235,700,4541,3.8
455,1,4381,28,22,960,1464,600,1915,4.4
456,0,55,3,62,2736,1585,300,7378,3.8
457,0,597,3,62,3442,1152,400,12314,4.0
458,0,102,0,20,4813,1585,600,2595,3.0
459,0,189,0,62,1917,254,300,6989,3.9
460,0,131,28,13,3921,502,400,1380,3.7
461,0,373,28,20,3313,264,750,4070,4.2
462,0,435,0,20,2451,195,650,3284,3.9
463,0,292,0,20,1030,248,700,3913,4.1
464,0,137,3,62,2126,83,300,4431,3.6
465,0,133,3,20,4020,1205,500,13842,3.2
466,0,37,28,72,2036,1514,250,6286,3.9
467,0,170,28,62,1578,860,200,5759,3.7
468,0,794,3,20,2338,284,550,12190,3.6
469,0,404,3,20,1113,0,1000,9032,4.6
470,1,561,3,20,2685,1152,900,3172,3.9
471,1,486,0,13,3234,708,700,9298,3.9
472,0,320,3,20,1112,1192,650,3691,3.9
473,0,237,28,30,4178,789,500,7948,4.1
474,1,1227,3,20,4594,114,900,2016,3.9
475,0,95,3,29,2513,1109,600,12152,4.0
476,1,1538,28,20,2331,163,1000,10442,4.1
477,0,110,3,20,2595,42,800,3203,3.7
478,0,381,0,62,4261,83,250,2746,4.1
479,0,251,3,29,4213,1186,500,12790,3.9
480,0,353,28,62,2481,1281,400,8985,3.0
481,0,205,28,29,4028,1177,450,8012,4.0
482,0,183,0,62,4194,866,250,2521,3.9
483,0,99,3,30,442,952,400,5219,3.9
484,0,260,28,62,2527,1152,300,4661,4.1
485,0,355,0,62,896,1192,400,4433,3.9
486,0,83,0,62,22,854,400,5198,4.1
